Comment,Designator,Footprint,LCSC,Quantity
100K,"R15,R29,R7,R9",R_0402_1005Metric,C25741,4
100n,"C1,C10,C17,C20,C21,C26,C28,C33,C34,C35,C38,C39,C4,C40,C43,C44,C47,C48,C49,C5,C50,C54,C6,C9",C_0402_1005Metric,C1525,24
100n,"C15,C16",C_0402_1005Metric,C307331,2
10K,"R10,R19,R20,R21,R27,R28,R3,R32,R35,R36,R37,R38,R39,R40,R41,R8",R_0402_1005Metric,C25744,16
10R,"R42,R43,R44,R45,R46,R47,R48,R49",R_0402_1005Metric,C25077,8
10n,"C45,C46",C_0402_1005Metric,C15195,2
10u,"C36,C37",C_0402_1005Metric,C15525,2
10u,"C13,C14",C_0805_2012Metric,C440198,2
12.4K,R16,R_0402_1005Metric,C11692,1
120R,R24,R_0402_1005Metric,C25079,1
16.5k,R12,R_0402_1005Metric,C25857,1
1K,"R11,R34",R_0402_1005Metric,C11702,2
1N5819WL,"D3,D4",D_SOD-123,C2905650,2
1u,C18,C_0603_1608Metric,C15849,1
1u,"C3,C53,C7",C_0402_1005Metric,C52923,3
2.2u,"C11,C8",C_0402_1005Metric,C12530,2
2.2u,"L1,L2",L_Coilcraft_XAL4030-XXX,C6012410,2
220R,"R4,R5,R6",R_0402_1005Metric,C25091,3
22u,"C22,C24,C25,C27,C52",C_0805_2012Metric,C45783,5
4.7K,"R25,R26,R30,R31",R_0402_1005Metric,C25900,4
4.7u,"C29,C30,C31,C32",C_0603_1608Metric,C19666,4
4.7u,"C12,C2,C41,C42,C51",C_0402_1005Metric,C23733,5
5.1K,"R1,R2",R_0402_1005Metric,C25905,2
600Ω@100MHz,FB1,L_0402_1005Metric,C127281,1
75R,"R22,R23",R_0402_1005Metric,C25133,2
8MHz,Y1,OSC-SMD_3P-L3.2-W1.3-P1.20-L,C341525,1
AO3400A,Q1,SOT-23,C20917,1
AP7361C-33FGE-7,"U6,U7",DFN-8_L3.0-W3.0-P0.65-BL-EP,C151007,2
AT7456ELAH,U9,LGA-16_L6.8-W4.0-P0.65-TL-2EP,C42388749,1
DPS368XTSA1,U16,LGA-8_L2.5-W2.0-P0.65-TR_DPS368,C3232508,1
HC-TYPE-C-16P-01M,USB1,USB-C-SMD_HCTL_HC-TYPE-C-16P-01M,C2894899,1
ICM-42688-P,"U14,U15",LGA-14_L3.0-W2.5-P0.50-TL,C1850418,2
IST8310,U17,LGA-16_L3.0-W3.0-P0.50-BL_SQ,C2683055,1
LED_RGB_EP,D1,LED-ARRAY-SMD_6P-L1.6-W1.6-TL,C131204,1
LMR43620R5RPER,U4,VQFN-9_L2.1-W2.1-P0.50-TL,C32712896,1
LMR604303SRAKRQ1,U5,WQFN-9_L2.5-W2.0_RAK0009A,C49292342,1
PESD2CAN,D6,SOT-23,C552486,1
RKCGG140SMTRLFS,SW2,SW-SMD_4P-L3.0-W2.6-P1.80-LS3.5,C2927792,1
SIT1051TK/3,U12,HVSON-8_L3.0-W3.0-P0.65-BL-EP,C124020,1
SMAJ30CA,D2,D_SMA,C134980,1
STM32H743VIHx,U2,TFBGA-100_8x8mm_Layout10x10_P0.8mm,C964146,1
TF-028-H265,J1,TF-SMD_TF-021B-H265,C5310496,1
USBLC6-2P6,U1,SOT-666,C2682291,1
XL7EL89COI-111YLC-27M,Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,C18214311,1
ZX-SH1.0-3PWT,"U11,U21",CONN-SMD_3P-P1.00_MEGASTAR_ZX-SH1.0-3PWT,C7430445,2
ZX-SH1.0-4PWT,"U10,U13,U18,U24,U3,U8",CONN-SMD_4P-P1.00_MEGASTAR_ZX-SH1.0-4PWT,C7430446,6
ZX-SH1.0-6PWT,"U19,U20",CONN-SMD_6P-P1.00_MEGASTAR_ZX-SH1.0-6PWT,C7430448,2
ZX-SH1.0-8PWT,U22,CONN-SMD_8P-P1.00_MEGASTAR_ZX-SH1.0-8PWT,C7430450,1
