Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,12.080005,2.575,-90.0,top
C10,100n,C_0402_1005Metric,12.960005,8.219387,180.0,bottom
C11,2.2u,C_0402_1005Metric,12.580005,9.389387,180.0,bottom
C12,4.7u,C_0402_1005Metric,10.230005,7.574387,0.0,bottom
C13,10u,C_0805_2012Metric,27.500003,26.480001,270.0,bottom
C14,10u,C_0805_2012Metric,16.170003,27.115001,270.0,bottom
C15,100n,C_0402_1005Metric,26.05,26.955002,270.0,bottom
C16,100n,C_0402_1005Metric,14.695001,27.655001,270.0,bottom
C17,100n,C_0402_1005Metric,23.340005,25.024387,180.0,top
C18,1u,C_0603_1608Metric,22.286273,24.243825,0.0,bottom
C2,4.7u,C_0402_1005Metric,14.400005,6.119387,0.0,bottom
C20,100n,C_0402_1005Metric,24.699998,24.530002,180.0,bottom
C21,100n,C_0402_1005Metric,12.99,25.105002,180.0,bottom
C22,22u,C_0805_2012Metric,20.806273,21.453825,90.0,bottom
C24,22u,C_0805_2012Metric,22.786273,21.453824,90.0,bottom
C25,22u,C_0805_2012Metric,8.720002,22.104999,90.0,bottom
C26,100n,C_0402_1005Metric,13.685005,29.97,180.0,top
C27,22u,C_0805_2012Metric,10.695002,22.105002,90.0,bottom
C28,100n,C_0402_1005Metric,7.270003,21.855001,90.0,bottom
C29,4.7u,C_0603_1608Metric,9.167505,26.435006,180.0,top
C3,1u,C_0402_1005Metric,12.790005,3.654387,270.0,bottom
C30,4.7u,C_0603_1608Metric,13.268755,23.355004,0.0,top
C31,4.7u,C_0603_1608Metric,6.100005,24.410006,-90.0,top
C32,4.7u,C_0603_1608Metric,16.322504,25.460004,90.0,top
C33,100n,C_0402_1005Metric,25.900005,14.444387,-90.0,top
C34,100n,C_0402_1005Metric,21.190005,19.784387,0.0,top
C35,100n,C_0402_1005Metric,26.170005,17.439387,0.0,top
C36,10u,C_0402_1005Metric,26.165005,19.449387,0.0,top
C37,10u,C_0402_1005Metric,26.170005,18.369387,0.0,top
C38,100n,C_0402_1005Metric,26.365005,15.984387,0.0,top
C39,100n,C_0402_1005Metric,28.165005,9.699387,0.0,bottom
C4,100n,C_0402_1005Metric,14.380005,5.184387,0.0,bottom
C40,100n,C_0402_1005Metric,25.05275,7.595,270.0,bottom
C41,4.7u,C_0402_1005Metric,11.85,-1.609996,180.0,top
C42,4.7u,C_0402_1005Metric,24.180005,0.599387,90.0,top
C43,100n,C_0402_1005Metric,11.85,0.3,180.0,top
C44,100n,C_0402_1005Metric,20.690005,-1.149996,0.0,top
C45,10n,C_0402_1005Metric,11.85,-0.669996,180.0,top
C46,10n,C_0402_1005Metric,22.520005,-1.149996,180.0,top
C47,100n,C_0402_1005Metric,23.755005,7.900004,0.0,top
C48,100n,C_0402_1005Metric,23.630005,11.640004,180.0,top
C49,100n,C_0402_1005Metric,20.505003,6.599387,90.0,top
C5,100n,C_0402_1005Metric,12.790005,5.484387,90.0,bottom
C50,100n,C_0402_1005Metric,21.800005,11.640004,180.0,top
C51,4.7u,C_0402_1005Metric,24.655005,5.025003,-90.0,top
C52,22u,C_0805_2012Metric,2.960005,9.979387,90.0,top
C53,1u,C_0402_1005Metric,9.985005,17.994387,90.0,bottom
C54,100n,C_0402_1005Metric,10.905005,17.994387,90.0,bottom
C6,100n,C_0402_1005Metric,10.425005,5.364387,315.0,bottom
C7,1u,C_0402_1005Metric,14.445005,8.024387,270.0,bottom
C8,2.2u,C_0402_1005Metric,12.630005,10.749387,180.0,bottom
C9,100n,C_0402_1005Metric,12.940005,7.159387,180.0,bottom
D1,LED_RGB_EP,LED-ARRAY-SMD_6P-L1.6-W1.6-TL,9.77,-0.99,180.0,top
D2,SMAJ30CA,D_SMA,29.972505,26.499387,180.0,top
D3,1N5819WL,D_SOD-123,13.237504,28.360004,0.0,top
D4,1N5819WL,D_SOD-123,8.490005,28.360004,180.0,top
D6,PESD2CAN,SOT-23,31.35,7.85,90.0,bottom
FB1,600Ω@100MHz,L_0402_1005Metric,14.355005,4.249387,0.0,bottom
J1,TF-028-H265,TF-SMD_TF-021B-H265,10.730005,20.0375,180.0,top
L1,2.2u,L_Coilcraft_XAL4030-XXX,26.175003,21.655002,270.0,bottom
L2,2.2u,L_Coilcraft_XAL4030-XXX,14.07,22.244999,270.0,bottom
Q1,AO3400A,SOT-23,4.5,4.012499,0.0,top
R1,5.1K,R_0402_1005Metric,0.205005,25.124387,0.0,bottom
R10,10K,R_0402_1005Metric,25.250005,25.965005,180.0,top
R11,1K,R_0402_1005Metric,23.365006,25.959387,180.0,top
R12,16.5k,R_0402_1005Metric,10.770002,28.245002,90.0,bottom
R15,100K,R_0402_1005Metric,9.805002,26.070001,270.0,bottom
R16,12.4K,R_0402_1005Metric,8.370003,26.53,0.0,bottom
R19,10K,R_0402_1005Metric,11.270005,23.780004,90.0,top
R2,5.1K,R_0402_1005Metric,2.205005,20.674387,270.0,bottom
