Ref,Val,Package,PosX,PosY,Rot,Side
"C2","4.7u","C_0402_1005Metric",14.400005,6.119387,180.000000,bottom
"C3","1u","C_0402_1005Metric",12.790005,3.654387,-90.000000,bottom
"C4","100n","C_0402_1005Metric",14.380005,5.184387,180.000000,bottom
"C5","100n","C_0402_1005Metric",12.790005,5.484387,90.000000,bottom
"C6","100n","C_0402_1005Metric",10.425005,5.364387,-135.000000,bottom
"C7","1u","C_0402_1005Metric",14.445005,8.024387,-90.000000,bottom
"C8","2.2u","C_0402_1005Metric",12.630005,10.749387,0.000000,bottom
"C9","100n","C_0402_1005Metric",12.940005,7.159387,0.000000,bottom
"C10","100n","C_0402_1005Metric",12.960005,8.219387,0.000000,bottom
"C11","2.2u","C_0402_1005Metric",12.580005,9.389387,0.000000,bottom
"C12","4.7u","C_0402_1005Metric",10.230005,7.574387,180.000000,bottom
"C13","10u","C_0805_2012Metric",27.500003,26.480001,-90.000000,bottom
"C14","10u","C_0805_2012Metric",16.170003,27.115001,-90.000000,bottom
"C15","100n","C_0402_1005Metric",26.050000,26.955002,-90.000000,bottom
"C16","100n","C_0402_1005Metric",14.695001,27.655001,-90.000000,bottom
"C18","1u","C_0603_1608Metric",22.286273,24.243825,180.000000,bottom
"C20","100n","C_0402_1005Metric",24.699998,24.530002,0.000000,bottom
"C21","100n","C_0402_1005Metric",12.990000,25.105002,0.000000,bottom
"C22","22u","C_0805_2012Metric",20.806273,21.453825,90.000000,bottom
"C24","22u","C_0805_2012Metric",22.786273,21.453824,90.000000,bottom
"C25","22u","C_0805_2012Metric",8.720002,22.104999,90.000000,bottom
"C27","22u","C_0805_2012Metric",10.695002,22.105002,90.000000,bottom
"C28","100n","C_0402_1005Metric",7.270003,21.855001,90.000000,bottom
"C39","100n","C_0402_1005Metric",28.165005,9.699387,180.000000,bottom
"C40","100n","C_0402_1005Metric",25.052750,7.595000,-90.000000,bottom
"C53","1u","C_0402_1005Metric",9.985005,17.994387,90.000000,bottom
"C54","100n","C_0402_1005Metric",10.905005,17.994387,90.000000,bottom
"D6","PESD2CAN","SOT-23",31.350000,7.850000,0.000000,bottom
"FB1","600Ω@100MHz","L_0402_1005Metric",14.355005,4.249387,180.000000,bottom
"L1","2.2u","L_Coilcraft_XAL4030-XXX",26.175003,21.655002,-90.000000,bottom
"L2","2.2u","L_Coilcraft_XAL4030-XXX",14.070000,22.244999,-90.000000,bottom
"R1","5.1K","R_0402_1005Metric",0.205005,25.124387,180.000000,bottom
"R2","5.1K","R_0402_1005Metric",2.205005,20.674387,-90.000000,bottom
"R7","100K","R_0402_1005Metric",2.970004,11.414387,180.000000,bottom
"R8","10K","R_0402_1005Metric",12.795001,29.305000,180.000000,bottom
"R9","100K","R_0402_1005Metric",10.770002,25.545001,-90.000000,bottom
"R12","16.5k","R_0402_1005Metric",10.770002,28.245002,90.000000,bottom
"R15","100K","R_0402_1005Metric",9.805002,26.070001,-90.000000,bottom
"R16","12.4K","R_0402_1005Metric",8.370003,26.530000,180.000000,bottom
"R32","10K","R_0402_1005Metric",5.830005,5.919387,90.000000,bottom
"R34","1K","R_0402_1005Metric",3.970005,4.514387,180.000000,bottom
"R35","10K","R_0402_1005Metric",3.500005,3.064387,-90.000000,bottom
"R36","10K","R_0402_1005Metric",11.855005,18.009387,-90.000000,bottom
"R37","10K","R_0402_1005Metric",9.050005,17.974387,-90.000000,bottom
"R38","10K","R_0402_1005Metric",13.600000,18.000000,-90.000000,bottom
"R39","10K","R_0402_1005Metric",14.650000,18.000000,-90.000000,bottom
"R40","10K","R_0402_1005Metric",7.170005,17.974387,-90.000000,bottom
"R41","10K","R_0402_1005Metric",8.110005,17.974387,-90.000000,bottom
"R42","10R","R_0402_1005Metric",21.275000,29.325000,90.000000,bottom
"R43","10R","R_0402_1005Metric",20.275000,29.325000,90.000000,bottom
"R44","10R","R_0402_1005Metric",19.275000,29.325000,90.000000,bottom
"R45","10R","R_0402_1005Metric",18.275000,29.325000,90.000000,bottom
"R46","10R","R_0402_1005Metric",8.880005,30.959387,90.000000,bottom
"R47","10R","R_0402_1005Metric",7.580005,30.959387,90.000000,bottom
"R48","10R","R_0402_1005Metric",6.230005,30.959387,90.000000,bottom
"R49","10R","R_0402_1005Metric",4.880005,30.959387,90.000000,bottom
"U1","USBLC6-2P6","SOT-666",0.625005,23.550000,0.000000,bottom
"U3","ZX-SH1.0-4PWT","CONN-SMD_4P-P1.00_MEGASTAR_ZX-SH1.0-4PWT",-0.619431,13.510004,90.000000,bottom
"U4","LMR43620R5RPER","VQFN-9_L2.1-W2.1-P0.50-TL",23.940000,26.520000,-90.000000,bottom
"U5","LMR604303SRAKRQ1","WQFN-9_L2.5-W2.0_RAK0009A",12.600000,27.115002,180.000000,bottom
"U8","ZX-SH1.0-4PWT","CONN-SMD_4P-P1.00_MEGASTAR_ZX-SH1.0-4PWT",24.024340,-0.597527,180.000000,bottom
"U12","SIT1051TK/3","HVSON-8_L3.0-W3.0-P0.65-BL-EP",27.420000,7.710000,90.000000,bottom
"U19","ZX-SH1.0-6PWT","CONN-SMD_6P-P1.00_MEGASTAR_ZX-SH1.0-6PWT",7.360005,-0.609996,180.000000,bottom
"U21","ZX-SH1.0-3PWT","CONN-SMD_3P-P1.00_MEGASTAR_ZX-SH1.0-3PWT",-0.624995,7.245004,90.000000,bottom
"U24","ZX-SH1.0-4PWT","CONN-SMD_4P-P1.00_MEGASTAR_ZX-SH1.0-4PWT",17.380005,-0.609996,180.000000,bottom
"C1","100n","C_0402_1005Metric",12.080005,2.575000,-90.000000,top
"C17","100n","C_0402_1005Metric",23.340005,25.024387,180.000000,top
"C26","100n","C_0402_1005Metric",13.685005,29.970000,180.000000,top
"C29","4.7u","C_0603_1608Metric",9.167505,26.435006,180.000000,top
"C30","4.7u","C_0603_1608Metric",13.268755,23.355004,0.000000,top
"C31","4.7u","C_0603_1608Metric",6.100005,24.410006,-90.000000,top
"C32","4.7u","C_0603_1608Metric",16.322504,25.460004,90.000000,top
"C33","100n","C_0402_1005Metric",25.900005,14.444387,-90.000000,top
"C34","100n","C_0402_1005Metric",21.190005,19.784387,0.000000,top
"C35","100n","C_0402_1005Metric",26.170005,17.439387,0.000000,top
"C36","10u","C_0402_1005Metric",26.165005,19.449387,0.000000,top
